nome,UF,partido,votos,total_despesa,quantidade_doadores,quantidade_despesas,recursos_de_pessoas_juridicas,recursos_de_partidos,recursos_de_pessoas_físicas,recursos_proprios,idade,sexo,grau,prop_doacoes_pj,prop_doacoes_pf,prop_doacoes_partido,prop_recursos_proprios,total_votos_uf,votos_prop
CESAR TAYAR,SP,PCB,970,640,1,3,0,0,640,0,60,MASCULINO,SUPERIOR COMPLETO,0,1,0,0,31998432,3.031398538528388e-5
JULIO CESAR DE CARVALHO LIMA,PI,PSD,99750,416655.21,90,212,82862,0,139542,192800,66,MASCULINO,SUPERIOR COMPLETO,0.1988742682468797,0.3349100086855988,0,0.4627327232989598,2345694,0.042524728289367666
AMIR FRANCISCO LANDO,RO,PMDB,19673,2586062.83,39,1396,31e4,101e3,250500,1675500,70,MASCULINO,SUPERIOR COMPLETO,0.11987334429921798,0.09686539595791646,0.03905550894910005,0.6478960915269023,1127154,0.017453693106709463
SHIRLANDIA SALES NOVAIS,SP,PSOL,124,290,2,2,0,0,0,140,49,FEMININO,ENSINO MÉDIO COMPLETO,0,0,0,0.4827586206896552,31998432,3.875189884304331e-6
PAULO ALEXANDRE LOPES,SP,SD,6577,428872.65,1,247,0,423872.5,0,0,35,MASCULINO,SUPERIOR COMPLETO,0,0,0.9883411777365612,0,31998432,2.055413215247547e-4
LUIZ OTAVIO DA TRINDADE,MG,PSOL,574,809.9,1,4,0,0,0,900,53,MASCULINO,SUPERIOR INCOMPLETO,0,0,0,1.1112483022595383,15248681,3.7642600038652523e-5
MAURA APARECIDA DE PAULA,SP,PT,2090,45424,2,15,0,0,0,0,47,FEMININO,ENSINO MÉDIO COMPLETO,0,0,0,0,31998432,6.5315700469323e-5
MARCIO BORGES DA SILVA,SP,SD,951,129185.2,2,51,0,126885.2,2300,0,56,MASCULINO,SUPERIOR COMPLETO,0,0.017803897040837496,0.9821961029591625,0,31998432,2.9720206290108215e-5
MARIA AUXILIADORA SEABRA REZENDE,TO,DEM,41802,778330.8,16,387,226e3,455e3,48e3,0,50,FEMININO,SUPERIOR COMPLETO,0.2903649707810612,0.061670436272083795,0.5845843438291276,0,996887,0.04193253598451981
JORGE VI LAMENHA LINS,AL,PSDB,8515,432515.76,7,344,31920.68,375295.08,25300,0,53,MASCULINO,SUPERIOR INCOMPLETO,0.07380235115594401,0.05849497831015452,0.8677026705339015,0,1995727,0.004266615624281277
PATRICIA PARRA FERREIRA DOS SANTOS,DF,PPS,486,29542.3,1,21,0,0,0,29550,33,FEMININO,SUPERIOR COMPLETO,0,0,0,1.0002606432132908,1897677,2.561025928016201e-4
LEONARDO CUNHA DE BRITO,AC,PT,20876,736866.25,96,518,277e3,25e3,347073,78e3,35,MASCULINO,SUPERIOR COMPLETO,0.3759162534584804,0.47101220879637246,0.03392745969841881,0.1058536742590667,506724,0.041197969703428296
ZACARIAS VILHARBA,PE,PP,11199,779899.99,3,395,3e4,78e4,0,0,52,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,0.03846647055348725,0,1.0001282343906686,0,6356307,0.0017618721059256578
GILSON MARQUES FERREIRA SILVEIRA,RJ,PR,17631,87582.56,5,64,0,0,15500,48500,45,MASCULINO,SUPERIOR COMPLETO,0,0.17697587282216917,0,0.5537632149596906,12141145,0.0014521694617764633
HÉLIO COSTA DE CAMPOS MELLO,MG,PMDB,4112,3253.75,1,4,0,3253.75,0,0,65,MASCULINO,SUPERIOR COMPLETO,0,0,1,0,15248681,2.696626678727163e-4
FERNANDO DESTITO FRANCISCHINI,PR,SD,159569,2564278.01,46,973,71355,2325568.61,114e3,45504.37,44,MASCULINO,SUPERIOR COMPLETO,0.027826545999199207,0.04445695808154593,0.9069097036011318,0.01774549008436102,7865950,0.020286043008155404
OSMAR JOSE SERRAGLIO,PR,PMDB,117048,1495405.43,49,977,746741.94,62e4,33907.51,95e3,66,MASCULINO,SUPERIOR COMPLETO,0.499357515372938,0.022674459594546212,0.41460328253589396,0.06352792232404827,7865950,0.014880338674921657
JOÃO BATISTA MARCELINO,SP,PRTB,320,4478,6,11,0,250,2503.6,1833.33,54,MASCULINO,SUPERIOR COMPLETO,0,0.5590888789638231,0.05582849486377847,0.40940821795444393,31998432,1.0000490024011176e-5
DALCILENE ANDRADE DE SOUSA,AP,SD,241,3100,3,7,0,0,600,0,38,FEMININO,SUPERIOR COMPLETO,0,0.1935483870967742,0,0,455514,5.29072651993133e-4
JOSE NEWTON DUARTE GOMES,RS,PMDB,588,10134,4,14,0,0,482,8652,57,MASCULINO,SUPERIOR COMPLETO,0,0.047562660351292675,0,0.8537596210775606,8392033,7.006645469578111e-5
WALDIR MARANHÃO CARDOSO,MA,PP,66274,754836.4,22,78,31e4,401990,33804,1e4,59,MASCULINO,SUPERIOR COMPLETO,0.4106850173097111,0.04478321395205637,0.5325524842204218,0.013247903784184228,4497336,0.014736279432979879
ELIA MARTA SAMUEL,RJ,PEN,426,2620,3,7,0,0,1e3,0,45,FEMININO,SUPERIOR COMPLETO,0,0.3816793893129771,0,0,12141145,3.5087300250511795e-5
PAULO SALIM MALUF,SP,PP,250296,1175560.93,8,433,84e3,55e4,2e3,1e4,83,MASCULINO,SUPERIOR COMPLETO,0.07145524987803058,0.0017013154732864423,0.4678617551537716,0.00850657736643221,31998432,0.007822133284530942
DAVI MORAES DA LUZ,PR,PV,301,1654.63,4,7,0,896.46,300,0,32,MASCULINO,ENSINO MÉDIO COMPLETO,0,0.18130941660673383,0.541788798704242,0,7865950,3.826619797990071e-5
MELQUIZEDEQUE LOPES DE SOUZA BARROS,SP,PSC,541,11326.84,4,17,0,0,1300,550,24,MASCULINO,SUPERIOR COMPLETO,0,0.11477163975124571,0,0.04855723220245011,31998432,1.6907078446843896e-5
