uf,votos
AC,506724
AL,1995727
AM,2226891
AP,455514
BA,10185417
CE,6271554
DF,1897677
ES,2653536
GO,4331733
MA,4497336
MG,15248681
MS,1818937
MT,2189703
PA,5188450
PB,2835882
PE,6356307
PI,2345694
PR,7865950
RJ,12141145
RN,2327451
RO,1127154
RR,299558
RS,8392033
SC,4859324
SE,1454165
SP,31998432
TO,996887
